PMID,Title,Journal,Authors,Abstract,DOI,PubMedURL,SciHub,PathwayName,Error
12147483,Biodesulfurization of naphthothiophene and benzothiophene through selective cleavage of carbon-sulfur bonds by Rhodococcus sp. strain WU-K2R.,Applied and environmental microbiology,"Kirimura K, Furuya T, Sato R, Ishii Y, Kino K, Usami S","Naphtho[2,1-b]thiophene (NTH) is an asymmetric structural isomer of dibenzothiophene (DBT), and in addition to DBT derivatives, NTH derivatives can also be detected in diesel oil following hydrodesulfurization treatment. Rhodococcus sp. strain WU-K2R was newly isolated from soil for its ability to grow in a medium with NTH as the sole source of sulfur, and growing cells of WU-K2R degraded 0.27 mM NTH within 7 days. WU-K2R could also grow in the medium with NTH sulfone, benzothiophene (BTH), 3-methyl-BTH, or 5-methyl-BTH as the sole source of sulfur but could not utilize DBT, DBT sulfone, or 4,6-dimethyl-DBT. On the other hand, WU-K2R did not utilize NTH or BTH as the sole source of carbon. By gas chromatography-mass spectrometry analysis, desulfurized NTH metabolites were identified as NTH sulfone, 2'-hydroxynaphthylethene, and naphtho[2,1-b]furan. Moreover, since desulfurized BTH metabolites were identified as BTH sulfone, benzo[c][1,2]oxathiin S-oxide, benzo[c][1,2]oxathiin S,S-dioxide, o-hydroxystyrene, 2-(2'-hydroxyphenyl)ethan-1-al, and benzofuran, it was concluded that WU-K2R desulfurized NTH and BTH through the sulfur-specific degradation pathways with the selective cleavage of carbon-sulfur bonds. Therefore, Rhodococcus sp. strain WU-K2R, which could preferentially desulfurize asymmetric heterocyclic sulfur compounds such as NTH and BTH through the sulfur-specific degradation pathways, is a unique desulfurizing biocatalyst showing properties different from those of DBT-desulfurizing bacteria.",10.1128/AEM.68.8.3867-3872.2002,https://pubmed.ncbi.nlm.nih.gov/12147483,https://sci-hub.se/10.1128/AEM.68.8.3867-3872.2002,Benzothiophene Desulfurization,
9782503,"Isolation of a unique benzothiophene-desulphurizing bacterium, Gordona sp. strain 213E (NCIMB 40816), and characterization of the desulphurization pathway.","Microbiology (Reading, England)","Gilbert SC, Morton J, Buchanan S, Oldfield C, McRoberts A","Gordona sp. strain 213E (NCIMB 40816) grew in pure culture in a mineral salts medium containing fructose as a source of carbon and energy, and benzothiophene (BTH) as the sole source of sulphur. During growth a phenolic compound accumulated, as indicated by the production of a blue colour on addition of Gibb's reagent. Therefore this pathway is analogous to the dibenzothiophene (DBT) desulphurization pathway of Rhodococcus sp. strain IGTS8, in which 2-hydroxybiphenyl accumulates during growth with DBT as the sole sulphur source. Ethyl acetate extraction of the culture medium yielded the metabolites benzothiophene s-oxide (BTHO), benzothiophene s,s-dioxide (BTHO2), benzo[c][1,2]oxathiin 6-oxide (BcOTO), 2-(2'-hydroxyphenyl) ethan 1-al (HPEal) and benzofuran (BFU). The deduced pathway for BTH desulphurization is BTH-->BTHO-->BTHO2-->HPESi(-)-->HPEal. HPESi- is (Z)-2-(2'-hydroxyphenyl)ethen 1-sulphinate, the stable aqueous-solution form of BcOTO. It was concluded that HPEal was the Gibb's-reagent-reactive phenolic compound which accumulated in the culture medium of strain 213E during growth, and that the presence of BFU was due to partial condensation of HPEal during the ethyl acetate extraction procedure. Gordona sp. strain 213E was unable to grow in a mineral salts medium containing fructose as a source of carbon and energy and DBT as the sole sulphur source. BTH-desulphurization-active cells (grown using BTH as sole sulphur source) were unable to desulphurize DBT. Likewise Rhodococcus sp. strain IGTS8 was unable to grow using BTH as the sole sulphur source, and DBT-desulphurization-active cells of strain IGTS8 (grown using DBT as sole sulphur source) were unable to desulphurize BTH. This absence of cross-reactivity is discussed in terms of fundamental differences in the chemistry of the DBT- and BTH-desulphurization reactions.",10.1099/00221287-144-9-2545,https://pubmed.ncbi.nlm.nih.gov/9782503,https://sci-hub.se/10.1099/00221287-144-9-2545,Benzothiophene Desulfurization,
12743754,2-(2'-Hydroxyphenyl)benzene sulfinate desulfinase from the thermophilic desulfurizing bacterium Paenibacillus sp. strain A11-2: purification and characterization.,Applied microbiology and biotechnology,"Konishi J, Maruhashi K","2-(2'-Hydroxyphenyl)benzene sulfinate (HPBSi) desulfinase (TdsB), which catalyzes the final step of desulfurization of dibenzothiophene (DBT), was purified from a thermophilic DBT- and benzothiophene (BT)-desulfurizing bacterium: Paenibacillus sp. strain A11-2. The molecular mass of the purified enzyme was 31 kDa and 39 kDa by gel filtration and sodium dodecyl sulfate polyacrylamide gel electrophoresis, respectively, suggesting a monomeric structure. The optimal temperature and pH for the reaction involving TdsB was 55 degrees C and the enzyme was more resistant to heat treatment than DszB, a counterpart purified from Rhodococcus erythropolis. The optimum pH for TdsB activity was pH 8. TdsB converted HPBSi to 2-hydroxybiphenyl (2-HBP) and sulfite stoichiometrically. The Km and kcat values for HPBSi were 0.33 mM and 0.32 s(-1), respectively. TdsB was inactivated by SH reagents such as p-chloromercuribenzoic acid and 5,5'-dithio-bis-2-nitrobenzoic acid, but was not inhibited by chelating reagents such as EDTA and o-phenanthroline. TdsB was also inhibited by o-hydroxystyrene, the final desulfurized product of BT. However, 2-HBP and its derivatives showed only a weak inhibitory effect. TdsB desulfurized 2-(2'-hydroxyphenyl)ethen-1-sulfinate to yield o-hydroxystyrene, but DszB could not. A site-directed mutagenesis study revealed the cysteine residue at position 17 to be essential to the catalytic activity of TdsB.",10.1007/s00253-003-1331-6,https://pubmed.ncbi.nlm.nih.gov/12743754,https://sci-hub.se/10.1007/s00253-003-1331-6,Benzothiophene Desulfurization,
9256235,Fungal cleavage of thioether bond found in Yperite.,FEBS letters,"Itoh N, Yoshida M, Miyamoto T, Ichinose H, Wariishi H, Tanaka H","The degradation of thiodiglycol (I) and benzyl sulfide (II) was attempted using Coriolus versicolor and Tyromyces palustris to investigate the potential ability of basidiomycetes to degrade Yperite (bis(2-chloroethyl) sulfide), a mass-produced and stored chemical warfare agent. I was very rapidly degraded by both fungi. The metabolic pathway of II was elucidated, showing that the initial step was the hydrolytic cleavage of the thioether bond to yield benzyl alcohol and benzyl mercaptan. Benzyl alcohol was further oxidized and finally mineralized. Benzyl mercaptan is reversibly converted to benzyl disulfide and also converted to benzyl alcohol. Finally, the effective degradation of bis(2-bromoethyl) sulfide strongly suggests that basidiomycete would be a potential tool for Yperite degradation.",10.1016/s0014-5793(97)00812-0,https://pubmed.ncbi.nlm.nih.gov/9256235,https://sci-hub.se/10.1016/s0014-5793(97)00812-0,Benzyl Sulfide,
12571066,Dibenzyl sulfide metabolism by white rot fungi.,Applied and environmental microbiology,"Van Hamme JD, Wong ET, Dettman H, Gray MR, Pickard MA","Microbial metabolism of organosulfur compounds is of interest in the petroleum industry for in-field viscosity reduction and desulfurization. Here, dibenzyl sulfide (DBS) metabolism in white rot fungi was studied. Trametes trogii UAMH 8156, Trametes hirsuta UAMH 8165, Phanerochaete chrysosporium ATCC 24725, Trametes versicolor IFO 30340 (formerly Coriolus sp.), and Tyromyces palustris IFO 30339 all oxidized DBS to dibenzyl sulfoxide prior to oxidation to dibenzyl sulfone. The cytochrome P-450 inhibitor 1-aminobenzotriazole eliminated dibenzyl sulfoxide oxidation. Laccase activity (0.15 U/ml) was detected in the Trametes cultures, and concentrated culture supernatant and pure laccase catalyzed DBS oxidation to dibenzyl sulfoxide more efficiently in the presence of 2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonate) (ABTS) than in its absence. These data suggest that the first oxidation step is catalyzed by extracellular enzymes but that subsequent metabolism is cytochrome P-450 mediated.",10.1128/AEM.69.2.1320-1324.2003,https://pubmed.ncbi.nlm.nih.gov/12571066,https://sci-hub.se/10.1128/AEM.69.2.1320-1324.2003,Benzyl Sulfide,
8824615,"Gene overexpression, purification, and identification of a desulfurization enzyme from Rhodococcus sp. strain IGTS8 as a sulfide/sulfoxide monooxygenase.",Journal of bacteriology,"Lei B, Tu SC","The oxidation of dibenzothiophene to dibenzothiophene sulfone has been linked to the enzyme encoded by the sox/dszC gene from Rhodococcus sp. strain IGTS8 (S. A. Denome, C. Oldfield, L. J. Nash, and K. D. Young, J. Bacteriol. 176:6707-6717, 1994; C. S. Piddington, B. R. Kovacevich, and J. Rambosek, Appl. Environ. Microbiol. 61:468-475, 1995). However, this enzyme has not been characterized, and the type of its catalytic activity remains unclassified. In this work, the sox/dszC gene was overexpressed in Escherichia coli, a procedure for the purification of the expressed enzyme was developed, and the properties of and the reactions catalyzed by the purified enzyme were characterized. This enzyme binds one flavin mononucleotide (Kd, 7 micrometers) or reduced flavin mononucleotide (FMNH2) (Kd < 10(-8) M) per 90,200-Da homodimer, and FMNH2 is an essential cosubstrate for its activity. Patterns of product formation were examined under different FMNH2 availabilities, and results indicate that this enzyme catalyzes a stepwise conversion of dibenzothiophene to the corresponding sulfoxide and subsequently to the sulfone. On the basis of isotope labeling patterns with H2(18)O and 18O2, dibenzothiophene sulfoxide and sulfone obtained their oxygen atom(s) from molecular oxygen rather than water in their formation from dibenzothiophene. The enzyme also utilizes benzyl sulfide and benzyl sulfoxide as substrates. Hence, it is identified as a sulfide/sulfoxide monooxygenase. This monooxygenase is similar to the microsomal flavin-containing monooxygenase but is unique among microbial flavomonooxygenases in its ability to catalyze two consecutive monooxygenation reactions.",10.1128/jb.178.19.5699-5705.1996,https://pubmed.ncbi.nlm.nih.gov/8824615,https://sci-hub.se/10.1128/jb.178.19.5699-5705.1996,Benzyl Sulfide,
95344182,,,,,,,,Biphenyl,'NoneType' object has no attribute 'findtext'
8125948,Novel pathway for bacterial metabolism of bisphenol A. Rearrangements and stilbene cleavage in bisphenol A metabolism.,The Journal of biological chemistry,"Spivack J, Leib TK, Lobos JH","Bisphenol A (BPA) is metabolized by a Gram-negative aerobic bacterium via a novel pathway involving oxidative skeletal rearrangement of the BPA. Oxidation of the aliphatic methyl group of BPA leads to coproduction of the methyl-hyroxylated 2,2-bis(4-hydroxyphenyl)-1-propanol and a skeletally rearranged triol 1,2-bis(4-hydroxyphenyl)-2-propanol. The major route of metabolism (> 80%) is through the rearrangement. The 1,2-bis(4-hydroxyphenyl)-2-propanol is dehydrated to 4,4'-dihydroxy-alpha-methylstilbene, which is rapidly cleaved by oxidation to 4-hydroxybenzaldehyde and 4-hydroxyacetophenone. 4-Hydroxybenzaldehyde is oxidized to 4-hydroxybenzoic acid. Both 4-hydroxybenzoic acid and 4-hydroxyacetophenone are mineralized. The minor product of BPA hydroxylation, 2,2-bis(4-hydroxyphenyl)-1-propanol, is further oxidized to form both 2,2-bis(4-hydroxyphenyl)propanoic acid and a skeletally rearranged tetraol, 2,3-bis(4-hydroxyphenyl)-1,2-propanediol. As is the case in the hydroxylation of BPA, the major product is skeletally rearranged. 2,3-Bis(4-hydroxyphenyl)-1,2-propanediol is slowly transformed to 4-hydroxyphenacyl alcohol.",,https://pubmed.ncbi.nlm.nih.gov/8125948,,Bisphenol A,
17886831,ipso-substitution: a general biochemical and biodegradation mechanism to cleave alpha-quaternary alkylphenols and bisphenol A.,Chemistry & biodiversity,"Gabriel FL, Cyris M, Giger W, Kohler HP","Sphingobium xenophagum Bayram is capable of metabolizing 4-alkoxyphenols and endocrine disruptive alpha-quaternary 4-nonylphenols by an ipso-substitution mechanism that involves ring hydroxylation at the site of the substituent. Here, we show that Bayram's ipso-hydroxylating activity was able to transform also bisphenol A (= dimethyl-4,4'-methylenediphenol; BPA) and 4-isopropylphenol. We identified six metabolites when resting cells of strain Bayram were incubated with BPA. They were unambiguously characterized by HPLC-UV, HPLC/MS, and HPLC/MS/MS as hydroquinone, 2-(4-hydroxyphenyl)isopropanol, 4-isopropenylphenol, 4-isopropylphenol, 4-hydroxy-4-isopropenylcyclohexa-2,5-dien-1-one, and 4-hydroxy-4-isopropylcyclohexa-2,5-dien-1-one. In experiments with 4-isopropylphenol as a substrate, 4-hydroxy-4-isopropylcyclohexa-2,5-dien-1-one, one of the metabolites from BPA, accumulated to a high degree. We could rationalize the formation of all metabolites by invoking ipso-hydroxylation and ipso-substitution mechanisms. On closer view, also classical bacterial metabolism of BPA can be well rationalized by an ipso-substitution mechanism, albeit with ipso-attack of an internal alkyl radical instead of an activated oxygen species. This highlights the important role of ipso-substitution as a versatile degradative principle utilized by diverse organisms to degrade alpha-quaternary 4-nonylphenols, 4-alkoxyphenols, and BPA.",10.1002/cbdv.200790170,https://pubmed.ncbi.nlm.nih.gov/17886831,https://sci-hub.se/10.1002/cbdv.200790170,Bisphenol A,
17557840,Degradation pathway of bisphenol A: does ipso substitution apply to phenols containing a quaternary alpha-carbon structure in the para position?,Applied and environmental microbiology,"Kolvenbach B, Schlaich N, Raoui Z, Prell J, Zühlke S, Schäffer A, Guengerich FP, Corvini PF","The degradation of bisphenol A and nonylphenol involves the unusual rearrangement of stable carbon-carbon bonds. Some nonylphenol isomers and bisphenol A possess a quaternary alpha-carbon atom as a common structural feature. The degradation of nonylphenol in Sphingomonas sp. strain TTNP3 occurs via a type II ipso substitution with the presence of a quaternary alpha-carbon as a prerequisite. We report here a new degradation pathway of bisphenol A. Consequent to the hydroxylation at position C-4, according to a type II ipso substitution mechanism, the C-C bond between the phenolic moiety and the isopropyl group of bisphenol A is broken. Besides the formation of hydroquinone and 4-(2-hydroxypropan-2-yl)phenol as the main metabolites, further compounds resulting from molecular rearrangements consistent with a carbocationic intermediate were identified. Assays with resting cells or cell extracts of Sphingomonas sp. strain TTNP3 under an (18)O(2) atmosphere were performed. One atom of (18)O(2) was present in hydroquinone, resulting from the monooxygenation of bisphenol A and nonylphenol. The monooxygenase activity was dependent on both NADPH and flavin adenine dinucleotide. Various cytochrome P450 inhibitors had identical inhibition effects on the conversion of both xenobiotics. Using a mutant of Sphingomonas sp. strain TTNP3, which is defective for growth on nonylphenol, we demonstrated that the reaction is catalyzed by the same enzymatic system. In conclusion, the degradation of bisphenol A and nonylphenol is initiated by the same monooxygenase, which may also lead to ipso substitution in other xenobiotics containing phenol with a quaternary alpha-carbon.",10.1128/AEM.00329-07,https://pubmed.ncbi.nlm.nih.gov/17557840,https://sci-hub.se/10.1128/AEM.00329-07,Bisphenol A,
20802076,Isolation and characterization of 4-tert-butylphenol-utilizing Sphingobium fuliginis strains from Phragmites australis rhizosphere sediment.,Applied and environmental microbiology,"Toyama T, Momotani N, Ogata Y, Miyamori Y, Inoue D, Sei K, Mori K, Kikuchi S, Ike M","We isolated three Sphingobium fuliginis strains from Phragmites australis rhizosphere sediment that were capable of utilizing 4-tert-butylphenol as a sole carbon and energy source. These strains are the first 4-tert-butylphenol-utilizing bacteria. The strain designated TIK-1 completely degraded 1.0 mM 4-tert-butylphenol in basal salts medium within 12 h, with concomitant cell growth. We identified 4-tert-butylcatechol and 3,3-dimethyl-2-butanone as internal metabolites by gas chromatography-mass spectrometry. When 3-fluorocatechol was used as an inactivator of meta-cleavage enzymes, strain TIK-1 could not degrade 4-tert-butylcatechol and 3,3-dimethyl-2-butanone was not detected. We concluded that metabolism of 4-tert-butylphenol by strain TIK-1 is initiated by hydroxylation to 4-tert-butylcatechol, followed by a meta-cleavage pathway. Growth experiments with 20 other alkylphenols showed that 4-isopropylphenol, 4-sec-butylphenol, and 4-tert-pentylphenol, which have alkyl side chains of three to five carbon atoms with α-quaternary or α-tertiary carbons, supported cell growth but that 4-n-alkylphenols, 4-tert-octylphenol, technical nonylphenol, 2-alkylphenols, and 3-alkylphenols did not. The rate of growth on 4-tert-butylphenol was much higher than that of growth on the other alkylphenols. Degradation experiments with various alkylphenols showed that strain TIK-1 cells grown on 4-tert-butylphenol could degrade 4-alkylphenols with variously sized and branched side chains (ethyl, n-propyl, isopropyl, n-butyl, sec-butyl, tert-butyl, n-pentyl, tert-pentyl, n-hexyl, n-heptyl, n-octyl, tert-octyl, n-nonyl, and branched nonyl) via a meta-cleavage pathway but not 2- or 3-alkylphenols. Along with the degradation of these alkylphenols, we detected methyl alkyl ketones that retained the structure of the original alkyl side chains. Strain TIK-1 may be useful in the bioremediation of environments polluted by 4-tert-butylphenol and various other 4-alkylphenols.",10.1128/AEM.00258-10,https://pubmed.ncbi.nlm.nih.gov/20802076,https://sci-hub.se/10.1128/AEM.00258-10,Bisphenol A,
18024680,Degradation of Bis(4-Hydroxyphenyl)methane (bisphenol F) by Sphingobium yanoikuyae strain FM-2 isolated from river water.,Applied and environmental microbiology,"Inoue D, Hara S, Kashihara M, Murai Y, Danzl E, Sei K, Tsunoi S, Fujita M, Ike M","Three bacteria capable of utilizing bis(4-hydroxyphenyl)methane (bisphenol F [BPF]) as the sole carbon source were isolated from river water, and they all belonged to the family Sphingomonadaceae. One of the isolates, designated Sphingobium yanoikuyae strain FM-2, at an initial cell density of 0.01 (optical density at 600 nm) completely degraded 0.5 mM BPF within 9 h without any lag period under inductive conditions. Degradation assays of various bisphenols revealed that the BPF-metabolizing system of strain FM-2 was effective only on the limited range of bisphenols consisting of two phenolic rings joined together through a bridging carbon without any methyl substitution on the rings or on the bridging structure. A BPF biodegradation pathway was proposed on the basis of metabolite production patterns and identification of the metabolites. The initial step of BPF biodegradation involves hydroxylation of the bridging carbon to form bis(4-hydroxyphenyl)methanol, followed by oxidation to 4,4'-dihydroxybenzophenone. The 4,4'-dihydroxybenzophenone appears to be further oxidized by the Baeyer-Villiger reaction to 4-hydroxyphenyl 4-hydroxybenzoate, which is then cleaved by oxidation to form 4-hydroxybenzoate and 1,4-hydroquinone. Both of the resultant simple aromatic compounds are mineralized.",10.1128/AEM.01708-07,https://pubmed.ncbi.nlm.nih.gov/18024680,https://sci-hub.se/10.1128/AEM.01708-07,Bisphenol F,
10427075,The branched-chain dodecylbenzene sulfonate degradation pathway of Pseudomonas aeruginosa W51D involves a novel route for degradation of the surfactant lateral alkyl chain.,Applied and environmental microbiology,"Campos-García J, Esteve A, Vázquez-Duhalt R, Ramos JL, Soberón-Chávez G","Pseudomonas aeruginosa W51D is able to grow by using branched-chain dodecylbenzene sulfonates (B-DBS) or the terpenic alcohol citronellol as a sole source of carbon. A mutant derived from this strain (W51M1) is unable to degrade citronellol but still grows on B-DBS, showing that the citronellol degradation route is not the main pathway involved in the degradation of the surfactant alkyl moiety. The structures of the main B-DBS isomers and of some intermediates were identified by gas chromatography-mass spectrometric analysis, and a possible catabolic route is proposed.",10.1128/AEM.65.8.3730-3734.1999,https://pubmed.ncbi.nlm.nih.gov/10427075,https://sci-hub.se/10.1128/AEM.65.8.3730-3734.1999,Branched Chain Dodecylbenzene Sulfonate,
1610174,"Biodegradation of the herbicide bromoxynil (3,5-dibromo-4-hydroxybenzonitrile) by purified pentachlorophenol hydroxylase and whole cells of Flavobacterium sp. strain ATCC 39723 is accompanied by cyanogenesis.",Applied and environmental microbiology,"Topp E, Xun LY, Orser CS","A pentachlorophenol (PCP)-degrading Flavobacterium sp. (strain ATCC 39723) degraded bromoxynil with the production of bromide and cyanide. No aromatic intermediates were detected in the spent culture fluid. The cyanide produced upon bromoxynil metabolism was inhibitory to the Flavobacterium sp. Whole cells degraded PCP more rapidly than they did bromoxynil. Bromoxynil metabolism and PCP metabolism were coinduced, either substrate serving as the inducer. Purified PCP hydroxylase degraded bromoxynil with stoichiometric accumulation of cyanide and without bromide production. A product accumulated which was more hydrophilic than bromoxynil upon high-pressure liquid chromatographic analysis and which, when analyzed by gas chromatography-mass spectrometry, had a mass spectrum consistent with that expected for dibromohydroquinone. PCP hydroxylase consumed NADPH, oxygen, and bromoxynil in a 2:1:1 molar ratio, producing 1 mol of cyanide per mol of bromoxynil degraded. We propose a pathway by which bromoxynil is metabolized by the same enzymes which degrade PCP. The initial step in the pathway is the conversion of bromoxynil to 2,6-dibromohydroquinone by PCP hydroxylase. In addition to its utility for decontaminating PCP-polluted sites, the Flavobacterium sp. may be useful for decontaminating bromoxynil spills. This is the first report of cyanide production accompanying the metabolism of a benzonitrile derivative.",10.1128/aem.58.2.502-506.1992,https://pubmed.ncbi.nlm.nih.gov/1610174,https://sci-hub.se/10.1128/aem.58.2.502-506.1992,Bromoxynil (an/aerobic),
1505868,Degradation of the herbicide bromoxynil in Pseudomonas putida.,Folia microbiologica,"Vokounová M, Vacek O, Kunc F","Biological conversion of the herbicide bromoxynil (3,5-dibromo-4-hydroxybenzonitrile) was studied in a batch culture of Pseudomonas putida by using HPLC. The process had a cometabolic character and proceeded only in the presence of another, simultaneously metabolizable, carbon and energy source. The intensity of degradation correlated with the growth rate, the degradation stopping when the cosubstrate becomes exhausted or the pH value of the medium falls below 6.5. In a medium with glucose, no lag phase longer than one day was observed concerning growth, sugar and herbicide consumption and formation of metabolic herbicide derivatives (3,5-dibromo-4-hydroxybenzamide and 3,5-dibromo-4-hydroxybenzoic acid). In a medium with ribose, the initial lag of the above processes took 2 d. No formation of other degradation products was detected. Growth inhibition was proportional to the concentration of bromoxynil.",10.1007/BF02836616,https://pubmed.ncbi.nlm.nih.gov/1505868,https://sci-hub.se/10.1007/BF02836616,Bromoxynil (an/aerobic),
3530133,Metabolism of the herbicide bromoxynil by Klebsiella pneumoniae subsp. ozaenae.,Applied and environmental microbiology,"McBride KE, Kenny JW, Stalker DM","Enrichment of soil samples for organisms able to utilize the herbicide bromoxynil (3,5-dibromo-4-hydroxybenzonitrile) as a nitrogen source yielded bacterial isolates capable of rapidly metabolizing this compound. One isolate, identified as Klebsiella pneumoniae subsp. ozaenae, could completely convert 0.05% bromoxynil to 3,5-dibromo-4-hydroxybenzoic acid and use the liberated ammonia as a sole nitrogen source. Assays of cell extracts of this organism for the ability to produce ammonia from bromoxynil revealed the presence of a nitrilase (EC 3.5.51) activity. The enzyme could not utilize 3,5-dibromo-4-hydroxybenzamide as a substrate, and no 3,5-dibromo-4-hydroxybenzamide could be detected as a product of bromoxynil transformation. Comparison of related aromatic nitriles as substrates demonstrated that the Klebsiella enzyme is highly specific for bromoxynil.",10.1128/aem.52.2.325-330.1986,https://pubmed.ncbi.nlm.nih.gov/3530133,https://sci-hub.se/10.1128/aem.52.2.325-330.1986,Bromoxynil (an/aerobic),
2834373,Purification and properties of a nitrilase specific for the herbicide bromoxynil and corresponding nucleotide sequence analysis of the bxn gene.,The Journal of biological chemistry,"Stalker DM, Malyj LD, McBride KE","A Klebsiella ozaenae nitrilase which converts the herbicide bromoxynil (3,5-dibromo-4-hydroxybenzonitrile) to 3,5-dibromo-4-hydroxybenzoic acid has been expressed at 5-10% of the total protein in Escherichia coli from a cloned K. ozaenae DNA segment and purified 10.3-fold to homogeneity. The purified polypeptide is molecular weight 37,000 in size, but the active form of the enzyme is composed of two identical subunits. The purified enzyme exhibits a pH optimum of 9.2 and a temperature optimum of 35 degrees C. The purified enzyme is also quite sensitive to thiol-specific reagents. The nitrilase is highly specific for bromoxynil as substrate with a Km of 0.31 mM and Vmax of 15 mumol of NH3 released/min/mg protein. Analysis of bromoxynil-related substrates indicates the enzyme exhibits preference for compounds containing two meta-positioned halogen atoms. Nucleotide sequence analysis of a 1,212-base pair PstI-HincII DNA segment containing the locus (bxn) encoding the bromoxynil-specific nitrilase reveals a single open reading frame encoding a polypeptide 349 amino acids in length. The predicted sequence of the purified enzyme was derived from the nucleotide sequence of the bxn gene.",,https://pubmed.ncbi.nlm.nih.gov/2834373,,Bromoxynil (an/aerobic),
9726864,"Biotransformation of the major fungal metabolite 3,5-dichloro- p-anisyl alcohol under anaerobic conditions and its role in formation of Bis(3,5-dichloro-4-Hydroxyphenyl)methane.",Applied and environmental microbiology,"Verhagen FJ, Swarts HJ, Wijnberg JB, Field JA","Higher fungi have a widespread capacity for biosynthesis of organohalogens. Commonly occurring chloroaromatic fungal metabolites can end up in anaerobic microniches at the boundary of fungal colonies and wetland soils. The aim of this study was to investigate the environmental fate of a major fungal metabolite, 3, 5-dichloro-p-anisyl alcohol, under anaerobic conditions. This compound was incubated with methanogenic sludge to study its biotransformation reactions. Initially, 3,5-dichloro-p-anisyl alcohol was readily demethylated in stoichiometric quantities to 3, 5-dichloro-4-hydroxybenzyl alcohol. The demethylated product was converted further via two routes: a biotic route leading to the formation of 3,5-dichloro-4-hydroxybenzoate and 2,6-dichlorophenol, as well as an abiotic route leading to the formation of bis(3, 5-dichloro-4-hydroxyphenyl)methane. In the first route, the benzyl alcohol moiety on the aromatic ring was oxidized, giving 3, 5-dichloro-4-hydroxybenzoate as a transient or accumulating product, depending on the type of methanogenic sludge used. In sludge previously adapted to low-molecular-weight lignin from straw, a part of the 3,5-dichloro-4-hydroxybenzoate was decarboxylated, yielding detectable levels of 2,6-dichlorophenol. In the second route, 3, 5-dichloro-4-hydroxybenzyl alcohol dimerized, leading to the formation of a tetrachlorinated bisphenolic compound, which was identified as bis(3,5-dichloro-4-hydroxyphenyl)methane. Since formation of this dimer was also observed in incubations with autoclaved sludge spiked with 3,5-dichloro-4-hydroxybenzyl alcohol, it was concluded that its formation was due to an abiotic process. However, demethylation of the fungal metabolite by biological processes was a prerequisite for dimerization. The most probable reaction mechanism leading to the formation of the tetrachlorinated dimer in the absence of oxygen is presented, and the possible environmental implications of its natural occurrence are discussed.",10.1128/AEM.64.9.3225-3231.1998,https://pubmed.ncbi.nlm.nih.gov/9726864,https://sci-hub.se/10.1128/AEM.64.9.3225-3231.1998,Bromoxynil (an/aerobic),
16507475,Coffee and health: a review of recent human research.,Critical reviews in food science and nutrition,"Higdon JV, Frei B","Coffee is a complex mixture of chemicals that provides significant amounts of chlorogenic acid and caffeine. Unfiltered coffee is a significant source of cafestol and kahweol, which are diterpenes that have been implicated in the cholesterol-raising effects of coffee. The results of epidemiological research suggest that coffee consumption may help prevent several chronic diseases, including type 2 diabetes mellitus, Parkinson's disease and liver disease (cirrhosis and hepatocellular carcinoma). Most prospective cohort studies have not found coffee consumption to be associated with significantly increased cardiovascular disease risk. However, coffee consumption is associated with increases in several cardiovascular disease risk factors, including blood pressure and plasma homocysteine. At present, there is little evidence that coffee consumption increases the risk of cancer. For adults consuming moderate amounts of coffee (3-4 cups/d providing 300-400 mg/d of caffeine), there is little evidence of health risks and some evidence of health benefits. However, some groups, including people with hypertension, children, adolescents, and the elderly, may be more vulnerable to the adverse effects of caffeine. In addition, currently available evidence suggests that it may be prudent for pregnant women to limit coffee consumption to 3 cups/d providing no more than 300 mg/d of caffeine to exclude any increased probability of spontaneous abortion or impaired fetal growth.",10.1080/10408390500400009,https://pubmed.ncbi.nlm.nih.gov/16507475,https://sci-hub.se/10.1080/10408390500400009,Caffeine,
17009088,Catabolic pathways and biotechnological applications of microbial caffeine degradation.,Biotechnology letters,"Dash SS, Gummadi SN","Catabolism of caffeine (1,3,7-trimethylxanthine) in microorganisms commences via two possible mechanisms: demethylation and oxidation. Through the demethylation route, the major metabolite formed in fungi is theophylline (1,3-dimethylxanthine), whereas theobromine (3,7-dimethylxanthine) is the major metabolite in bacteria. In certain bacterial species, caffeine has also been oxidized directly to trimethyl uric acid in a single step. The conversion of caffeine to its metabolites is primarily brought about by N-demethylases (such as caffeine demethylase, theobromine demethylase and heteroxanthinedemethylase), caffeine oxidase and xanthine oxidase that are produced by several caffeine-degrading bacterial species such as Pseudomonas putida and species within the genera Alcaligenes, Rhodococcus and Klebsiella. Development of biodecaffeination techniques using these enzymes or using whole cells offers an attractive alternative to the present existing chemical and physical methods removal of caffeine, which are costly, toxic and non-specific to caffeine. This review mainly focuses on the biochemistry of microbial caffeine degradation, presenting recent advances and the potential biotechnological application of caffeine-degrading enzymes.",10.1007/s10529-006-9196-2,https://pubmed.ncbi.nlm.nih.gov/17009088,https://sci-hub.se/10.1007/s10529-006-9196-2,Caffeine,
